Paper_ID,DOI,Affiliation_ID,Year,Keyword,AffiliationGroup,ListedAffiliation,Author,Author_ID
7,10.1002/ecy.1749/suppinfo,8,2017,NoMatch,Unmatched,"HT Harvey & Associates, Los Gatos, CA 95032 USA","Ainley, David G.",25
7,10.1002/ecy.1749/suppinfo,16,2017,NoMatch,Unmatched,"Landcare Res, Lincoln 7640, NE, New Zealand","Lyver, Phil O'B.",34
7,10.1002/ecy.1749/suppinfo,17,2017,NoMatch,Unmatched,"Museo Nazl Antartide Sez Siena, I-53100 Siena, Italy","Olmastroni, Silvia",35
10,10.1002/ecy.1757/suppinfo,6,2017,NoMatch,Unmatched,"Paul Sabatier Univ, F-09200 Moulis, France","de Mazancourt, Claire",47
10,10.1002/ecy.1757/suppinfo,6,2017,NoMatch,Unmatched,"Paul Sabatier Univ, F-09200 Moulis, France","Loreau, Michel",48
18,10.1002/ecy.1734/suppinfo,1,2017,NoMatch,Unmatched,"Yale NUS Coll, 16 Coll Ave West, Singapore 138527, Singapore","Lai, Hao Ran",68
18,10.1002/ecy.1734/suppinfo,1,2017,NoMatch,Unmatched,"Yale NUS Coll, 16 Coll Ave West, Singapore 138527, Singapore","van Breugel, Michiel",69
19,10.1002/ecy.1738/suppinfo,1,2017,NoMatch,Unmatched,"POB 1431, Greeley, CO 80632 USA","Abbott, Ronald E.",72
21,,1,2017,NoMatch,Unmatched,"Nara Womens Univ, Fac Sci, Nara 6308506, Japan","Wada, Yoko",79
21,,1,2017,NoMatch,Unmatched,"Nara Womens Univ, Fac Sci, Nara 6308506, Japan","Ida, Takashi Y.",80
21,,1,2017,NoMatch,Unmatched,"Nara Womens Univ, Fac Sci, Nara 6308506, Japan","Yusa, Yoichi",81
34,10.1002/ecy.1674,13,2017,NoMatch,Unmatched,1University1,"Buderman, Frances E.",145
37,,2,2017,NoMatch,Unmatched,1University1,"Pucheta, Eduardo",156
39,,1,2017,NoMatch,Unmatched,"Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA","Wilber, Mark Q.",163
39,,1,2017,NoMatch,Unmatched,"Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA","Briggs, Cheryl J.",164
39,,1,2017,NoMatch,Unmatched,"Univ Colorado, Boulder, CO 80309 USA","Johnson, Pieter T. J.",165
42,,3,2017,NoMatch,Unmatched,"Pacific Northwest Coll Art, Portland, OR 97209 USA","Schoonmaker, Peter K.",180
42,,4,2017,NoMatch,Unmatched,1University1,"Plotkin, Audrey Barker",182
43,,24,2017,NoMatch,Unmatched,"Binhai Res Inst Tianjin, Tianjin 300457, Peoples R China","Duan, J. C.",195
56,10.1002/ecy.1708,4,2017,NoMatch,Unmatched,"Parrot Inc, San Francisco, CA 94105 USA","Crutsinger, Gregory M.",259
58,10.1002/ecy.1682,35,2017,NoMatch,Unmatched,"Univ South Bohemia, Fac Sci, Branisovska 31, Ceske Budejovice 37005, Czech Republic","Fayle, Tom M.",291
58,10.1002/ecy.1682,35,2017,NoMatch,Unmatched,"Univ South Bohemia, Fac Sci, Branisovska 31, Ceske Budejovice 37005, Czech Republic","Klimes, Petr",292
58,10.1002/ecy.1682,53,2017,NoMatch,Unmatched,"IPE, Nazare Paulista, BR-12960000 Sao Paulo, Brazil","Jenkins, Clinton",310
58,10.1002/ecy.1682,58,2017,NoMatch,Unmatched,"Univ Saarland, Saarbrucken, Germany","Laeger, Thomas",314
58,10.1002/ecy.1682,74,2017,NoMatch,Unmatched,"Autonomous Univ Barcelona, E-08193 Barcelona, Spain","Retana, Javier",328
58,10.1002/ecy.1682,80,2017,NoMatch,Unmatched,1University1,"Hoffmann, Benjamin",335
67,10.1002/ecy.1669,3,2017,NoMatch,Unmatched,"Himal Prakriti, Pithoragarh 262554, Uttarakhand, India","Kalyanaraman, Ramnarayan",352
71,10.1002/ecy.1642,3,2017,NoMatch,Unmatched,"Resource Evaluat & Dev, Sydney, NSW, Australia","Lyons, Jessica Ann",364
